,listing_id,monthname,price
997,2214960,August,81.90322580645162
998,2214960,December,81.58064516129032
999,2214960,February,81.85714285714286
1000,2214960,January,82.2258064516129
1001,2214960,July,81.90322580645162
1002,2214960,June,81.66666666666667
1003,2214960,March,81.58064516129032
1004,2214960,May,81.90322580645162
1005,2214960,November,81.66666666666667
1006,2214960,October,82.2258064516129
1007,2214960,September,81.66666666666667
1008,2222067,April,92.5
1009,2222067,August,92.25806451612904
1010,2222067,December,93.06451612903226
1011,2222067,February,92.14285714285714
1012,2222067,January,93.06451612903226
1013,2222067,July,92.58064516129032
1014,2222067,June,91.66666666666667
1015,2222067,March,91.45161290322581
1016,2222067,May,92.25806451612904
1017,2222067,November,91.66666666666667
1018,2222067,October,93.06451612903226
1019,2222067,September,92.0
1020,2254521,April,47.5
1021,2254521,August,47.25806451612903
1022,2254521,December,46.45161290322581
1023,2254521,February,47.142857142857146
1024,2254521,January,48.064516129032256
